ECGEpoch,ECGTimestamp,ECGValue
1755694596.371436,20 Aug 2025 at 14:56:36,-90
1755694596.371436,20 Aug 2025 at 14:56:36,-79
1755694596.371436,20 Aug 2025 at 14:56:36,-86
1755694596.371436,20 Aug 2025 at 14:56:36,-90
1755694596.371436,20 Aug 2025 at 14:56:36,-70
1755694596.371436,20 Aug 2025 at 14:56:36,-47
1755694596.371436,20 Aug 2025 at 14:56:36,6
1755694596.371436,20 Aug 2025 at 14:56:36,254
1755694596.371436,20 Aug 2025 at 14:56:36,712
1755694596.371436,20 Aug 2025 at 14:56:36,1067
1755694596.371436,20 Aug 2025 at 14:56:36,964
1755694596.371436,20 Aug 2025 at 14:56:36,263
1755694596.371436,20 Aug 2025 at 14:56:36,-665
1755694596.371436,20 Aug 2025 at 14:56:36,-883
